comment,album,track_number,channels,sample_rate_hz,size_bytes,bit_depth,frames,genre,error,duration_seconds,title,year,artist,file
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,4161720,16,2080512,Classical,,47.177143,"Aguado, Dionisio - 8 Lessons for the Guitar - No. 2 in A minor",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\aguado_guitar_lessons_no2.wav
"URL: https://www.classicals.de
Publisher: Fulda Symphonic Orchestra",3. Benefiz Symphonie-Konzert,,1,44100,4195662,16,2097488,Classical,,47.562086,Symphony No. 5 in C minor - Op. 67,,"Fulda Symphonic Orchestra, Conductor: Simon Schindler; Performer: Rebekka Herrmann (violine), Kristina Rill (viola)",D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\beethoven_symphony_5_short.wav
"URL: https://www.classicals.de
Publisher: Fulda Symphonic Orchestra",3. Benefiz Symphonie-Konzert,,1,44100,2079262,16,1039288,Classical,,23.566621,Symphony No. 5 in C minor - Op. 67,,"Fulda Symphonic Orchestra, Conductor: Simon Schindler; Performer: Rebekka Herrmann (violine), Kristina Rill (viola)",D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\beethoven_symphony_5_very_short.wav
,,,1,44100,5607980,16,2803968,,,63.582041,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\bella_ciao.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2025 Gregor Quendel. All rights reserved.",,,1,44100,3558132,16,1778716,Classical,,40.333696,"Czerny - 30 Études de mécanisme, Op. 849 - No. 4, Allegro (C major)",2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\czerny_etude_op849_no4.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,4890792,16,2445196,,,55.446621,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\mozart_rondo_alla_turca_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,1907100,16,953350,,,21.617914,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\mozart_rondo_alla_turca_very_short.wav
,,,1,44100,794080,16,397018,,,9.002676,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\myra_wake_up.wav
,,,1,44100,1548736,16,774346,,,17.558866,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\rick_rolled_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,4062218,16,2030834,Classical,,46.050658,,2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms\rossini_william_tell_short.wav
